extension,File Format,count,NARA Format ID
ram,RealMedia metafile,8120,NF00397
sf2,8-bit ASCII Text,8106,
gph,Lotus 1-2-3 Graph,8078,NF00722
20,Unidentified,8046,
rds,Ray Dream Studio 3D Image,7871,
fon,Microsoft Font File,7858,NF00719
trk,CompeGPS Land Track file,7844,NF00790
0,DoubleSpace Compressed hard disk data,7786,
gif,Graphics Interchange Format (1987a),7658,
shp|sbn|dbf|prj|shx|sbx,ESRI Shapefile Compound File,7632,NF00174
mui,Unidentified,7594,
jar,Java Archive File,7568,NF00215
xsd,eXtensible Markup Language Schema,7568,NF00188
tpl,Archicad Template File,7544,NF00720
blob,Steam Archive file,7524,
mdm,HLM Multivariate Data Matrix File,7436,
12,Unidentified,7433,
stm,Microsoft Exchange Streaming Media File,7423,
mno,Unidentified,7391,
emlx,Unidentified,7341,
pdf,Acrobat PDF 1.7 - Portable Document Format (1.7),7340,
log,8-bit ASCII Text,7306,
odc,Unidentified,7278,
cs5,Unidentified,7253,
smi|smil,Synchronized Multimedia Integration Language,7224,NF00782
wpd,WordPerfect for MS-DOS/Windows Document (6.0),7183,
19,Unidentified,7086,
prproj,Adobe Premiere Pro Project,7023,NF00818
ndx|mdx,dBase Index File,7002,NF00154
flv|f4v,Macromedia Flash Video,6954,NF00193
msb,Unidentified,6948,
asc,8-bit ASCII Text,6927,
asc,7-bit ASCII Text,6927,
fo_,Unidentified,6889,
08,Unidentified,6888,
nef,Nikon Electronic Format RAW Image (NEF),6862,NF00341
lck|lock,Lock File,6832,NF00226
29,Unidentified,6801,
jpe,JPEG 24-bit Compressed Graphic,6647,
rdp,Unidentified,6644,
2018,Unidentified,6639,
m2m,Unidentified,6582,
26,Unidentified,6522,
docm,Microsoft Word for Windows Macro 2007-onwards (OOXML),6494,NF00312
f5a,8-bit ASCII Text,6492,
f51,8-bit ASCII Text,6492,
f5p,8-bit ASCII Text,6492,
f5i,8-bit ASCII Text,6492,
f52,8-bit ASCII Text,6492,
f53,8-bit ASCII Text,6492,
f57,8-bit ASCII Text,6484,
f5r,8-bit ASCII Text,6474,
rtp,8-bit ASCII Text,6464,
rta,8-bit ASCII Text,6464,
rti,8-bit ASCII Text,6464,
rtz,8-bit ASCII Text,6463,
rtr,8-bit ASCII Text,6462,
rth,8-bit ASCII Text,6462,
rt2,8-bit ASCII Text,6462,
f58,8-bit ASCII Text,6462,
rts,8-bit ASCII Text,6461,
f55,8-bit ASCII Text,6460,
rt1,8-bit ASCII Text,6448,
rt4,8-bit ASCII Text,6445,
rt8,8-bit ASCII Text,6444,
f54,8-bit ASCII Text,6426,
cdx,CorelDraw Compressed Drawing,6422,NF00549
rtc,8-bit ASCII Text,6417,
rt6,8-bit ASCII Text,6378,
rt5,8-bit ASCII Text,6372,
rt7,8-bit ASCII Text,6360,
3,Unidentified,6324,
htc,HTML Components,6299,NF00775
09,Unidentified,6288,
olk14c,Unidentified,6173,
pgp,PGP Encrypted File,6146,NF00357
webhis,Unidentified,6023,
olk14e,Unidentified,6010,
enc,Unspecified Encrypted or Encoded (.enc) file,5988,
pdf,Acrobat PDF/A - Portable Document Format (1a),5956,
ihlp,Unidentified,5949,
wpt,WordPerfect Template,5902,NF00789
4,Unidentified,5874,
map,Color Map/HTML Image Map,5872,
man,Command manual,5870,NF00725
2015,Unidentified,5867,
xlsb,Unidentified,5844,
key|key.zip,Keynote presentation file,5828,NF00223
avi,Audio Video Interleave Format (AVI),5804,NF00117
pdf,Acrobat PDF/X - Portable Document Format - Exchange 1a:2001,5799,
07,Unidentified,5738,
accdb,Microsoft Access (.accdb) unspecified version,5545,NF00835
docx,Microsoft Office Open XML (2007),5538,
out,Output file,5463,
xsl,eXtensible Style Language unspecified version,5458,
pdf,Acrobat PDF/X - Portable Document Format - Exchange 3:2002,5336,
ht_,Unidentified,5238,
2020,Unidentified,5187,
qm,Qt Linguist Compiled Translation Source File,5182,NF00730
sun|ras|sunras|rs|sr|scr|im1|im8|im24|im32,Sun Raster Image,5172,NF00417
2019,Unidentified,5154,
