File Format ,Version,PRONOM PUID,count,extension
Rich Text Format,1.9,fmt/355,1623,rtf
Rich Text Format,1.5-1.6,fmt/50,1341,rtf
Rich Text Format,1.7,fmt/52,160,rtf
Rich Text Format,1.8,fmt/53,102,rtf
Rich Text Format,1.0-1.4,fmt/45,43,rtf
RPM Package Manager file,3,fmt/795,24,rpm|src.rpm
SGML/XML Entity File,,fmt/1618,19,ent
SNAP Main Data File,       ,fmt/1056,3,mdf
Software602 Printer Configuration File,1,fmt/1711,2,
Sonic Scenarist Closed Caption Format,       ,fmt/1274,4,scc
Sony SFK File,       ,fmt/1207,1,sfk
Speller Custom Dictionary,       ,x-fmt/132,2,dct|dic
Stuffit Archive File,,fmt/639,121,sit
Sun Raster Image,         ,x-fmt/184,1,sun|ras|sunras|rs|sr|scr|im1|im8|im24|im32
SureThing Project File,       ,fmt/1276,1,std
Tab-separated values,       ,x-fmt/13,2,tab|tsv
Tagged Image File Format,       ,fmt/353,"49,205,220",tif|tiff
Tape Archive Format,       ,x-fmt/265,1,tar
TCR eBook,       ,fmt/1099,14,tcr
Text Configuration file,       ,x-fmt/421,118,ini|conf|cnf|cfg|cf|config
Thumbs DB file,XP,fmt/682,4,db
TIFF Image Sequence,,,1,tar
TRIM Context Reference File,,fmt/1085,16,txt|tr5
TrueType Font,       ,x-fmt/453,13,ttf
Truevision TGA Bitmap,2,fmt/402,11,tga|icb|vda|vst
Type Library,Type 1,fmt/1601,2,
Type Library,Type 2,fmt/1602,1,
Variant Call Format,2.x,fmt/906,3,vcf
vCard,       ,fmt/395,3,vcf|vcard
Vector Markup Language,       ,fmt/583,316,htm|html
Verity Collection Document Dataset Descriptor Style Set,       ,fmt/457,3,ddd
Verity Collection Document Index Descriptor Style Set,       ,fmt/458,3,did
Verity Collection Index About File,       ,fmt/454,11,abt
Verity Collection Index Descriptor File,       ,fmt/461,18,pdd|ddd|did|wld
Verity Collection Index Pending Transaction File,       ,fmt/455,3,trn
Verity Collection Index Style Policy,       ,fmt/456,3,plc
Verity Collection Partition Definition Descriptor Style Set,       ,fmt/460,3,pdd
Verity Collection Stop List,       ,fmt/453,4,stp
Verity Collection Word List Descriptor Style Set,       ,fmt/459,3,wld
Video Object (VOB),,fmt/441,2,vob
Video Object File (MPEG-2 subset),       ,fmt/425,33,vob
Virtual Reality Modeling Language,2,fmt/94,3,wrl|wrz|wrl.gz
Visual Basic Project File,01-Jun,fmt/1573,1,
Visual Basic Project Workspace File,01-Jun,fmt/1574,2,
Visual Basics MAK File,3 or earlier,fmt/1548,1,
Waveform Audio,       ,fmt/6,33,wav
Waveform Audio (PCMWAVEFORMAT),       ,fmt/141,85,wav
Waveform Audio (WAVEFORMATEX),,fmt/142,310,wav
Web Open Font Format,1,fmt/616,1,woff
Windows Bitmap,3,fmt/116,1121,bmp
Windows Bitmap,2,fmt/115,9,bmp
Windows Bitmap,1,fmt/114,4,bmp
Windows Bitmap,3.0 NT,fmt/117,2,bmp
Windows Cabinet File,       ,x-fmt/414,4,cab
Windows Help File,       ,fmt/474,16,hlp
Windows Media Audio,       ,fmt/132,49,wma
Windows Media Metafile,       ,fmt/584,19,asx|wax|wxv
Windows Media Video,       ,fmt/133,156,wmv
Windows Media Video,,fmt/133,9,wmv
Windows Media Video 9 Advanced Profile (WVC1),9 Advanced Profile (WVC1),fmt/441,26,wmv
Windows Metafile Image,       ,x-fmt/119,25,wmf
Windows New Executable,       ,x-fmt/410,85,exe|dll|cpl|drv|scr
Windows Portable Executable,32 bit,fmt/899,742,pe|exe|dll|cpl|efi|ocx|scr|sys
Windows Portable Executable,       ,x-fmt/411,1,exe|dll|sys
Windows Setup File,       ,x-fmt/420,1,inf
Wordcraft Chapter Files,,fmt/1723,6,
WordPerfect for MS-DOS/Windows Document,5.1,x-fmt/394,16,wpd|wp5|wp|w51|doc
WordPerfect for MS-DOS/Windows Document,6,x-fmt/44,2,wpd|wp6|wp|w60|w61|w62|doc
Write for Windows Document,3,x-fmt/12,2,wri
XML Property List,       ,fmt/979,1,plist
XML Schema Definition,       ,x-fmt/280,109,xsd
ZIP Format,       ,x-fmt/263,1433,zip
Zoomify Image Format,       ,fmt/898,113,zif
